sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543427;161279;1142;655397;1584543427;161210;0.004835165;
1584543427;246992;1142;740081;1584543427;246934;0.005274725;
1584543427;347854;1142;839565;1584543427;347805;0.005274725;
1584543427;449062;1142;941214;1584543427;449012;0.005274725;
1584543427;554636;1143;52305;1584543427;554586;0.005274725;
1584543427;656607;1143;147056;1584543427;656557;0.005274725;
1584543427;758536;1143;249042;1584543427;758474;0.005274725;
1584543427;859378;1143;349827;1584543427;859330;0.005274725;
1584543427;959759;1143;455924;1584543427;959710;0.005274725;
1584543428;60815;1143;562436;1584543428;60767;0.005274725;
1584543428;161341;1143;656383;1584543428;161293;0.009670329;
1584543428;267012;1143;758717;1584543428;266950;0.005274725;
1584543428;367663;1143;858096;1584543428;367617;0.005274725;
1584543428;468035;1143;960574;1584543428;467987;0.005274725;
1584543428;569412;1144;63446;1584543428;569367;0.007472527;
1584543428;670641;1144;164898;1584543428;670588;0.005274725;
1584543428;770865;1144;262630;1584543428;770815;0.005274725;
1584543428;871409;1144;361776;1584543428;871369;0.005274725;
1584543428;972692;1144;463107;1584543428;972644;0.01538462;
1584543429;72925;1144;564880;1584543429;72876;0.005714286;
1584543429;176401;1144;670550;1584543429;176338;0.005274725;
1584543429;275712;1144;768334;1584543429;275652;0.005274725;
1584543429;375702;1144;869056;1584543429;375647;0.01538462;
1584543429;476394;1144;969181;1584543429;476337;0.005274725;
1584543429;577345;1145;70293;1584543429;577294;0.01714286;
1584543429;679945;1145;171646;1584543429;679899;0.01538462;
1584543429;781180;1145;273103;1584543429;781133;0.004835165;
1584543429;882520;1145;378198;1584543429;882461;0.01362637;
1584543429;983862;1145;478556;1584543429;983735;0.005274725;
1584543430;84801;1145;579210;1584543430;84754;0.005274725;
1584543430;185102;1145;679861;1584543430;185060;0.005274725;
1584543430;295560;1145;785974;1584543430;295506;0.006153846;
1584543430;394753;1145;885989;1584543430;390420;0.005274725;
1584543430;490773;1145;985840;1584543430;490724;0.007472527;
1584543430;593401;1146;88219;1584543430;593344;0.005274725;
1584543430;693535;1146;189451;1584543430;693484;0.007912087;
1584543430;794017;1146;288580;1584543430;793967;0.004835165;
1584543430;894723;1146;385156;1584543430;894677;0.005714286;
1584543430;996370;1146;486824;1584543430;996310;0.01538462;
1584543431;105567;1146;597137;1584543431;99804;0.005714286;
1584543431;197152;1146;689173;1584543431;197110;0.005274725;
1584543431;298225;1146;790048;1584543431;298183;0.005274725;
1584543431;399060;1146;890910;1584543431;399019;0.005714286;
1584543431;499896;1146;992008;1584543431;499855;0.005274725;
1584543431;600991;1147;93036;1584543431;600950;0.005714286;
1584543431;702097;1147;193939;1584543431;702055;0.007032967;
1584543431;802929;1147;294934;1584543431;802888;0.005714286;
1584543431;907914;1147;404899;1584543431;907861;0.006593407;
1584543432;7919;1147;503074;1584543432;7877;0.0167033;
1584543432;111519;1147;602015;1584543432;111460;0.005274725;
1584543432;210532;1147;705308;1584543432;210485;0.005274725;
