sent.seconds,sent.microseconds,received.seconds,received.microseconds,sampleTimeStamp.seconds,sampleTimeStamp.microseconds,groundSteering5,groundSteering4,groundSteering3,groundSteering2,groundSteering1
1584543632,278580,1347,765383,1584543632,278580,0.1379559,0,0.0749791,0,-0.09895714
1584543632,379167,1347,865982,1584543632,379167,0.197932,0,0.07197852,0,0
1584543632,479758,1347,966570,1584543632,479758,0.07197852,0,0.06298564,0,0
1584543632,580259,1348,67069,1584543632,580259,0.01799463,0,0.05998505,0,0
1584543632,680762,1348,167566,1584543632,680762,0,-0.1229529,0,0,-0.05997618
1584543632,781382,1348,268190,1584543632,781382,0,-0.137947,-0.0269875,0,0
1584543632,881882,1348,368684,1584543632,881882,0,-0.1349464,-0.1739362,0,0
1584543632,982441,1348,469261,1584543632,982441,0,-0.1349464,-0.1739362,0,0
1584543633,82988,1348,569805,1584543633,82988,0,-0.1349464,-0.2009238,0,0.01200234
1584543633,183575,1348,670390,1584543633,183575,0,-0.1349464,-0.290888,0,0.290888
1584543633,284158,1348,770971,1584543633,284158,0,-0.1349464,-0.290888,0,0.290888
